TIPIFICACION,FECHA_DE_AVISO,DIA,MES,HORA_AVISO,COLONIA_SUCESO,OXXO
1,31/10/2013,4,10,11:21:00 p. m.,32,0
1,01/11/2013,0,11,04:14:00 a. m.,32,0
1,06/11/2013,3,11,07:30:00 p. m.,32,0
1,17/11/2013,FALSO,11,03:07:00 a. m.,32,0
1,28/11/2013,4,11,06:31:00 p. m.,32,0
1,20/12/2013,0,12,05:03:00 a. m.,32,0
1,26/12/2013,4,12,02:40:00 p. m.,32,0
1,27/12/2013,0,12,06:09:00 p. m.,32,0
1,29/12/2013,FALSO,12,03:35:00 p. m.,32,0
1,29/12/2013,FALSO,12,10:23:00 p. m.,32,0
1,26/05/2013,FALSO,5,11:48:00 p. m.,33,0
1,06/08/2013,2,8,02:07:00 a. m.,33,0
1,22/08/2013,4,8,11:56:00 p. m.,33,0
1,13/07/2013,FALSO,7,10:27:00 p. m.,34,0
1,14/01/2013,1,1,08:32:00 p. m.,35,0
1,10/03/2013,FALSO,3,06:18:00 a. m.,36,0
1,10/03/2013,FALSO,3,03:34:00 p. m.,36,0
1,21/07/2013,FALSO,7,08:17:00 p. m.,36,0
1,27/07/2013,FALSO,7,08:01:00 p. m.,37,0
1,10/08/2013,FALSO,8,01:39:00 a. m.,37,0
1,24/08/2013,FALSO,8,09:23:00 p. m.,37,0
1,19/11/2013,2,11,11:50:00 p. m.,37,0
1,20/12/2013,0,12,02:19:00 a. m.,37,0
1,02/11/2013,FALSO,11,04:56:00 a. m.,38,0
1,18/01/2013,0,1,08:41:00 p. m.,39,0
1,09/02/2013,FALSO,2,12:59:00 a. m.,39,0
1,06/07/2013,FALSO,7,03:47:00 p. m.,40,0
1,08/08/2013,4,8,01:43:00 a. m.,40,0
1,23/08/2013,0,8,09:44:00 p. m.,40,0
1,03/08/2013,FALSO,8,07:37:00 a. m.,41,0
1,26/10/2013,FALSO,10,01:46:00 a. m.,41,0
1,17/02/2013,FALSO,2,01:19:00 a. m.,42,0
1,27/02/2013,3,2,09:43:00 p. m.,42,0
1,16/04/2013,2,4,12:49:00 a. m.,42,0
1,03/06/2013,1,6,09:34:00 p. m.,42,0
1,28/06/2013,0,6,11:47:00 a. m.,42,0
1,17/08/2013,FALSO,8,04:32:00 a. m.,42,0
1,17/08/2013,FALSO,8,07:32:00 a. m.,42,0
1,17/08/2013,FALSO,8,11:13:00 p. m.,42,0
1,25/09/2013,3,9,12:57:00 p. m.,42,0
1,01/11/2013,0,11,07:42:00 p. m.,42,0
